City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Le Port,RE,2022-07-27 17:06:12,-20.9373,55.2919,69.8,77,38,4.76
135,Sisimiut,GL,2022-07-27 17:02:55,66.9395,-53.6735,46.51,77,70,9.55
136,Hasaki,JP,2022-07-27 17:06:13,35.7333,140.8333,79.29,91,100,17.29
137,Coos Bay,US,2022-07-27 17:05:41,43.3665,-124.2179,73.31,90,0,8.05
138,Jinchang,CN,2022-07-27 17:06:14,38.4953,102.1739,76.55,21,81,3.58
139,Manzil Salim,TN,2022-07-27 17:06:14,35.8567,8.4765,74.48,60,53,29.12
140,Gaoua,BF,2022-07-27 17:02:25,10.2992,-3.2508,84.87,58,87,7.38
141,Pangnirtung,CA,2022-07-27 17:06:15,66.1451,-65.7125,54.7,65,82,4.27
142,Kruisfontein,ZA,2022-07-27 17:06:15,-34.0033,24.7314,55.89,87,72,2.26
143,Sitka,US,2022-07-27 17:03:59,57.0531,-135.33,61.43,62,49,3.91
144,Santa Maria,BR,2022-07-27 17:06:16,-29.6842,-53.8069,77.52,61,100,2.66
145,Chodavaram,IN,2022-07-27 17:06:17,17.8333,82.95,80.44,82,99,2.21
146,Mayumba,GA,2022-07-27 17:06:17,-3.432,10.6554,71.74,80,58,6.46
147,Rawson,AR,2022-07-27 17:06:18,-43.3002,-65.1023,45.64,81,100,9.95
148,Thompson,CA,2022-07-27 17:06:18,55.7435,-97.8558,51.22,95,100,8.99
149,Iqaluit,CA,2022-07-27 17:06:19,63.7506,-68.5145,52.7,54,76,5.99
150,Talnakh,RU,2022-07-27 17:06:20,69.4865,88.3972,61.86,50,100,5.35
151,Mahebourg,MU,2022-07-27 17:06:21,-20.4081,57.7,70.25,78,35,13.53
152,Gravdal,NO,2022-07-27 17:03:11,68.1214,13.5031,49.89,93,75,13.8
153,Khani,GE,2022-07-27 17:06:22,41.9563,42.9566,63.97,92,89,1.45
154,Mahajanga,MG,2022-07-27 17:06:23,-15.7167,46.3167,73.49,73,25,11.56
155,Haines Junction,CA,2022-07-27 17:06:23,60.7522,-137.5108,55.17,58,76,1.83
156,Dingle,PH,2022-07-27 17:06:24,10.9995,122.6711,76.53,88,67,2.98
157,Lebu,CL,2022-07-27 17:03:34,-37.6167,-73.65,54.32,73,82,12.73
158,Bambous Virieux,MU,2022-07-27 17:06:24,-20.3428,57.7575,70.21,78,34,13.71
159,Chalmette,US,2022-07-27 17:06:25,29.9427,-89.9634,93.99,60,100,6.91
160,Makakilo City,US,2022-07-27 17:06:25,21.3469,-158.0858,77.32,67,0,11.5
