City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
100,Cabo San Lucas,MX,2022-08-07 21:14:27,22.8909,-109.9124,91.18,68,75,4.0,broken clouds
101,Coihaique,CL,2022-08-07 21:18:32,-45.5752,-72.0662,39.15,75,100,4.61,overcast clouds
102,Pevek,RU,2022-08-07 21:18:32,69.7008,170.3133,32.43,94,100,16.93,overcast clouds
103,Olafsvik,IS,2022-08-07 21:18:33,64.8945,-23.7142,51.44,83,100,14.12,overcast clouds
104,Roma,US,2022-08-07 21:18:21,43.2128,-75.4557,89.69,60,20,8.05,few clouds
105,Key Largo,US,2022-08-07 21:14:26,25.0865,-80.4473,87.8,67,100,12.55,overcast clouds
106,Nikolskoye,RU,2022-08-07 21:18:34,59.7035,30.7861,58.89,79,11,3.65,few clouds
107,Cururupu,BR,2022-08-07 21:18:34,-1.8283,-44.8683,78.69,79,30,5.41,scattered clouds
108,Kaitangata,NZ,2022-08-07 21:18:35,-46.2817,169.8464,38.57,66,94,10.51,overcast clouds
109,Kapaa,US,2022-08-07 21:18:35,22.0752,-159.319,84.18,78,100,11.5,overcast clouds
110,Ilulissat,GL,2022-08-07 21:18:35,69.2167,-51.1,46.42,81,100,4.61,overcast clouds
111,Hovd,MN,2022-08-07 21:18:36,48.0056,91.6419,62.35,36,0,3.8,clear sky
112,Castro,BR,2022-08-07 21:18:37,-24.7911,-50.0119,57.54,95,100,2.24,moderate rain
113,Salinas,US,2022-08-07 21:18:37,36.6777,-121.6555,86.99,59,0,16.11,clear sky
114,Chokurdakh,RU,2022-08-07 21:18:37,70.6333,147.9167,47.93,51,100,13.87,overcast clouds
115,Ito,JP,2022-08-07 21:18:38,34.9667,139.0833,82.69,84,15,1.01,few clouds
116,Namatanai,PG,2022-08-07 21:18:38,-3.6667,152.4333,78.76,81,95,6.44,overcast clouds
117,Torbay,CA,2022-08-07 21:17:59,47.6666,-52.7314,76.39,78,75,20.71,broken clouds
118,Chuy,UY,2022-08-07 21:18:39,-33.6971,-53.4616,48.92,83,6,9.28,clear sky
119,Jieshi,CN,2022-08-07 21:18:39,22.8134,115.8257,81.41,82,90,11.18,overcast clouds
120,Richards Bay,ZA,2022-08-07 21:18:32,-28.783,32.0377,67.19,94,78,6.33,broken clouds
