City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
132,Korla,CN,82.29,41.7597,86.1469,clear sky,Gulisitan Hotel
133,Makakilo City,US,83.95,21.3469,-158.0858,few clouds,Marriott's Ko Olina Beach Club
135,Boca Do Acre,BR,87.15,-8.7522,-67.3978,overcast clouds,Hotel Sao Pedro
136,Seoul,KR,81.97,37.5683,126.9778,moderate rain,LOTTE HOTEL SEOUL
143,Lexington,US,89.29,37.9887,-84.4777,broken clouds,DoubleTree Suites by Hilton Hotel Lexington
155,Guerrero Negro,MX,88.09,27.9769,-114.0611,overcast clouds,"Casa Laguna, Bed & Breakfast"
179,San Francisco,US,84.76,37.7749,-122.4194,few clouds,Edwardian Hotel
183,Gazli,UZ,83.73,40.1333,63.45,clear sky,UTG Uy-joy kommunal xoʻjaligi
187,Coos Bay,US,80.31,43.3665,-124.2179,clear sky,Best Western Holiday Hotel
192,Avera,US,88.38,33.194,-82.5271,overcast clouds,
193,Anaco,VE,81.91,9.4389,-64.4728,overcast clouds,SAIVEN MALL (SAIVEN C.A.)
203,Road Town,VG,84.29,18.4167,-64.6167,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
205,Kavieng,PG,81.27,-2.5744,150.7967,light rain,Nusa Island Retreat
216,Acapulco,MX,87.62,16.8634,-99.8901,broken clouds,HS Hotsson Smart Acapulco
217,Mino,JP,83.43,34.8269,135.4706,broken clouds,Ooedo Onsen Monogatari Minoh Kankō Hotel
220,Jiaojiang,CN,80.01,28.6803,121.4428,few clouds,Fangyuan Hotel
228,Zaraza,VE,87.8,9.3503,-65.3245,overcast clouds,Hotel Zaraza
232,Hopelchen,MX,86.41,19.7667,-89.85,overcast clouds,Hotel Jaguar
234,Tivaouane,SN,82.74,14.9515,-16.8129,light rain,SOUNOU KEUR
238,Alofi,NU,80.49,-19.0595,-169.9187,clear sky,Taloa Heights
240,La Ronge,CA,80.85,55.1001,-105.2842,scattered clouds,Northland Motor Hotel
241,Ixtapa,MX,87.22,20.7,-105.2,overcast clouds,hotel la terminal
243,Inirida,CO,81.52,3.8653,-67.9239,overcast clouds,Fuente del Guania Hotel de Lujo
247,Carbonia,IT,82.0,39.1672,8.5222,clear sky,Lu 'Hotel
250,Tecoanapa,MX,85.8,16.5167,-98.75,overcast clouds,Hotel Manglares
251,Broome,US,88.9,42.2506,-75.833,broken clouds,Chenango Valley State Park
